University,Status,Target Major,Term,Q,V,AWA,Total,TOEFL,UG College,UG Major,CGPA,Papers,Work Ex
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,169,144,3,313,101,L. D. College Of Engineering,Computer Science,7.8,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Spring 2018,167,147,3.5,314,93,G.H.PATEL COLLEGE OF ENGINEERING,Computer Science,8.94,N/A,23 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,160,146,3,306,94,MVSR Engg College,ECE,87,N/A,26 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2015,164,152,0,316,94,Dr. Ambedkar Institute Of Technology,Computer Science,70.25,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,167,145,3.5,312,91,Amrita University Coimbatore Campus,Computer Science,7.89,N/A,18 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,155,156,4,311,108,The University of Manchester,Chemistry,80,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,162,153,3,315,100,University of Pune,Computer Science,64.82,1,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,168,152,3,320,94,Chaitanya Bharathi Institute of Technology,ECE,84.1,N/A,7 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,157,152,3.5,309,97,Ramnarain Ruia college,Computer Science,8,0,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,163,152,3,315,100,iiits,Computer Science,6.9,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,158,143,4,301,91,Rajiv Gandhi Proudyogiki Vishwavidyala,Computer Science,7.54,0,19 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,163,148,4,311,95,"College of Engineering, Guindy",Computer Science,8.6,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,159,150,3,309,94,Gitam University,Computer Science,8.74,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2016,154,152,3,306,95,Dayananda Sagar College of Engineering,Computer Science,70,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,161,152,3,313,112,Vignan Institute Of Technology And Science,Computer Science,83,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,162,147,4,309,96,N/A,N/A,N/A,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2014,161,147,3.5,308,99,SRM University,Computer Science,7.98,N/A,0 Mo
